Ranking,Jan_12,Feb_12,Mar_12,Apr_12,May_12,Jun_12,Jul_12,Aug_12,Sep_12,Oct_12,Nov_12,Dec_12
1,BANESTADO,CREDICORP,BANESTADO,BANESTADO,BANESTADO,BANESTADO,BANESTADO,SANTANDER,BANESTADO,SANTANDER,SANTANDER,BANESTADO
2,CREDICORP,BANESTADO,CREDICORP,CREDICORP,SANTANDER,SANTANDER,SANTANDER,BANESTADO,SANTANDER,BANESTADO,BANESTADO,CREDICORP
3,SANTANDER,SANTANDER,BBVA,SANTANDER,BBVA,BBVA,BICE,BICE,BICE,BICE,CREDICORP,SANTANDER
4,BBVA,BBVA,BICE,BBVA,BICE,BICE,BBVA,BBVA,CREDICORP,CREDICORP,BICE,BBVA
5,BCI,BICE,SANTANDER,BICE,CREDICORP,BANCHILE,BANCHILE,CREDICORP,BBVA,BBVA,CONSORCIO,BICE
