Fechas,BANESTADO,BBVA,SANTANDER,BANCHILE,CREDICORP,BICE,BCI,LARRAIN VIAL,CONSORCIO,ITAU,NEVASA,SECURITY,EUROAMERICA,CORPCAP,TANNER,BTG PACTUAL,SCOTIA,FINANZAS,MBI,PENTA,DEUTSCHE
Apr_16,1653355,1455730,1389584,1063549,687133,831571,1137298,1392675,721864,390827,1044615,444385,786950,197129,200241,133565,255341,74922,250104,,
May_16,2638120,2295127,2114309,1100874,970911,1147380,1259076,1282473,906504,593139,933371,438748,655164,298605,401440,198761,71132,81486,236038,,
Jun_16,2196209,2804788,2464894,1196833,415407,1195866,1209835,987379,1015891,358093,928002,463954,674041,355478,356932,184426,141788,131985,179872,,
Jul_16,2416676,2869324,1959771,1583310,576944,1386506,1385501,1081818,1379314,710559,1003171,453144,622513,567575,503604,232144,169360,195482,203216,,
Aug_16,1947402,2405117,1743278,1211735,246488,1215606,1591195,840951,988189,500766,1193740,394251,515498,472216,416418,185531,297364,167957,248870,,
Sep_16,2272677,2521073,2128033,852715,383933,1078611,1428806,1282018,867806,337562,851458,554505,530194,337219,490256,172221,140751,125758,206683,,
Oct_16,1883907,2043590,1604909,689087,719480,1259191,1176206,947553,872313,249446,928179,486687,526465,365311,394665,200936,216609,215115,201580,,
Nov_16,1954966,2777660,2159647,1122438,595789,1473020,1364099,1165435,944832,384888,1097184,566076,675894,192738,358338,261304,377997,237886,218735,,
Dec_16,2979241,2255350,2035367,1301700,767152,1141148,1283704,840820,1156462,294841,1025460,458261,453793,245528,467599,151761,391451,110856,175763,,
Jan_17,2084882,3027760,2122176,811873,1176279,1118344,1312625,848660,1161360,1138905,1199062,623088,357240,,453226,211199,301863,218200,184560,,
Feb_17,1527090,2100773,933213,874863,560807,940705,1308692,1296795,1091147,509759,996183,484171,482122,,553044,134154,50432,182217,162669,,
Mar_17,2658940,2782708,2226572,1231728,900547,1302776,1613057,1378832,1392411,847743,970742,674364,347155,,636096,250375,215585,129678,332568,,
Apr_17,3042256,2812568,1612746,1727983,814563,1378649,1350093,888941,994236,1069873,978757,354687,279433,,440331,244000,248785,163594,298255,,
May_17,3302148,2632301,2395740,1985049,1158343,822893,1626003,933196,694536,919659,801203,403830,629620,,729451,252225,364840,225427,353998,,
Jun_17,3632363,3050767,2201409,1381645,1045824,1401717,1162536,797208,809763,723270,891327,410336,530923,,541115,233990,14791,214280,670529,,
Jul_17,3200021,2694454,2854754,2055432,1172235,1035624,2034347,490686,663159,1067742,752853,505058,529085,,513577,417761,156825,287183,303373,,
Aug_17,3843888,2305422,2506947,1815215,1437764,1598839,1070575,525216,630289,970870,1038011,677383,495803,,676323,264164,17058,257217,381677,,
Sep_17,2207950,1528043,1296272,1094032,780226,1049715,815764,693212,485400,682328,676605,481597,378007,,395473,214058,67920,149703,283432,,
Oct_17,3649299,3998506,3720043,1919431,1304799,1419091,2274403,957420,684488,1246902,665671,522764,554695,,841829,272222,215348,283174,544520,,
Nov_17,3854442,1960168,2396013,1996311,1132948,929393,1321367,801468,690451,1022414,894491,476562,565613,,743568,262140,24019,237031,539913,,
Dec_17,2156135,1933199,1892138,1556239,725773,635040,1256356,674021,634711,886362,815123,414400,393830,,467566,232730,197789,207310,391390,,
Jan_18,2126408,2962046,2737365,2526035,595399,1158965,1233410,508150,379085,923109,232646,199725,177403,,343023,191857,122217,300641,209148,,
Feb_18,3274311,2116071,3220823,2141753,396209,930712,1344838,327795,264911,1201675,149487,226134,290992,,302733,126459,113394,315335,248708,,
Mar_18,2460550,1754637,2582524,2754220,518363,1122721,1154302,413965,221393,983036,128345,297496,329408,,404488,287932,212259,307695,294003,,
Apr_18,2065107,2095950,1767598,1584039,665918,1194649,1107855,456838,446887,1448797,119706,182187,162616,,261899,214252,31853,263096,281644,,
May_18,2018598,1990673,2442587,2004252,441679,1155261,1458479,565800,190468,1366615,99104,196954,247577,,488439,266074,55682,341102,315818,,
Jun_18,1310628,1628874,2374411,2271800,373200,708736,793316,339779,101027,1084694,89771,211205,173879,,367161,207801,167496,242123,265004,,
Jul_18,1779776,1697503,3049876,3738981,574225,845123,972394,283697,282561,990455,103475,154561,162466,,206466,333548,48173,410345,248393,,
Aug_18,2768321,1924342,2567576,3083847,674860,1215965,1224924,432125,165769,1838406,171148,266317,279890,,783835,485829,2848,416131,338455,,
Sep_18,1678859,797126,1608113,1743248,345564,540362,617207,236292,93065,1184226,71198,182021,123140,,131978,273447,11136,264868,171079,,
Oct_18,2055909,2202761,2700691,3213662,385540,585201,1036723,297645,165844,1355734,136786,219594,221146,,320787,400213,12487,375275,305157,,
Nov_18,2162885,1724015,1941678,2213721,406880,636138,891591,337118,189389,1284344,129175,138588,250753,,229090,329115,5954,299079,228584,,
Dec_18,2041319,2177455,2213030,4413813,274402,602329,849157,396975,165286,1471027,133660,166094,182500,,129842,231344,0,324678,276105,,
